image_id,bg_reconstruction_error,target_residual_mean,background_residual_mean,target_residual_bg_ratio,candidate_pixels,far_pixels,ohem_budget,candidate_to_budget_ratio,target_leakage_pixels,flat_candidate_ratio,residual_auroc_target_vs_far
000013,0.4327205419540405,0.9652824401855469,0.43272048234939575,2.230729719436159,0,64958,649,0.0,0,0.0,0.8444146050347222
000627,0.3701232373714447,1.1492040157318115,0.3701232075691223,3.104922880355164,0,64876,648,0.0,0,0.0,0.912548828125
000487,0.3265611529350281,1.0491243600845337,0.3265611231327057,3.212643164686195,0,64924,649,0.0,0,0.0,0.9253643329326923
001201,0.17094463109970093,1.0406967401504517,0.17094464600086212,6.087916553673188,0,65247,652,0.0,0,0.0,0.981689453125
000457,0.2605731785297394,0.9735623002052307,0.2605731785297394,3.736233735561227,0,64409,644,0.0,0,0.0,0.9306354391163794
000916,0.1280568242073059,1.3631988763809204,0.1280568391084671,10.6452641332671,0,64867,648,0.0,0,0.0,0.9913834635416666
000030,0.3443799912929535,0.8333757519721985,0.3443799912929535,2.41993081201768,0,65247,652,0.0,0,0.0,0.8336859809027778
000109,0.17448589205741882,1.2266597747802734,0.17448589205741882,7.030137281108155,0,64874,648,0.0,0,0.0,0.975982666015625
000693,0.29166826605796814,1.1746418476104736,0.29166820645332336,4.027322216206159,0,65163,651,0.0,0,0.0,0.8955502717391305
000183,0.265606552362442,1.0318198204040527,0.26560652256011963,3.8847683801533974,0,64757,647,0.0,0,0.0,0.936489928002451
000467,0.3230343163013458,1.2489207983016968,0.3230343163013458,3.866217102261756,0,64456,644,0.0,0,0.0,0.9604726938100961
001164,0.16108854115009308,0.21972903609275818,0.16108854115009308,1.364026482107298,0,65315,653,0.0,0,0.0,0.6918674045138888
001258,0.2490493655204773,1.9456135034561157,0.2490493804216385,7.812159581213206,0,65001,650,0.0,0,0.0,0.9847683376736112
000970,0.3917180299758911,1.3433754444122314,0.39171797037124634,3.429445534855249,0,64909,649,0.0,0,0.0,0.9451323962602459
000263,0.12864162027835846,1.0094797611236572,0.12864163517951965,7.847224265417073,0,64936,649,0.0,0,0.0,0.9816737021169355
000858,0.2789117395877838,0.852356493473053,0.2789117097854614,3.0560082763419456,0,64805,648,0.0,0,0.0,0.845361328125
000668,0.2716308534145355,3.365110158920288,0.2716308534145355,12.388541716153274,0,64852,648,0.0,0,0.0,0.997705078125
000526,0.35604435205459595,2.7523272037506104,0.35604438185691833,7.730292469146932,0,65125,651,0.0,0,0.0,0.9973292495265151
000736,0.2824520766735077,1.9816088676452637,0.2824520766735077,7.0157348141428155,0,64732,647,0.0,0,0.0,0.9751567225302419
001146,0.1378467082977295,1.0118350982666016,0.1378467082977295,7.340292058923744,0,65247,652,0.0,0,0.0,0.99462890625
000247,0.25426650047302246,1.528037190437317,0.25426650047302246,6.009589102751036,0,64821,648,0.0,0,0.0,0.9741484972895408
000367,0.21163226664066315,1.848901391029358,0.21163226664066315,8.73638703765652,0,65251,652,0.0,0,0.0,0.996826171875
000050,0.22075119614601135,0.8156176805496216,0.22075119614601135,3.6947373096458693,0,65247,652,0.0,0,0.0,0.9319118923611112
000773,0.19163964688777924,1.4649845361709595,0.19163964688777924,7.644475242791636,0,64894,648,0.0,0,0.0,0.9632756159855769
000318,0.2690548896789551,1.0508954524993896,0.2690548896789551,3.9058775469695117,0,64999,649,0.0,0,0.0,0.9379970005580357
001163,0.13785696029663086,0.9070218205451965,0.13785696029663086,6.579441608124328,0,65247,652,0.0,0,0.0,0.9876302083333334
001159,0.2634451687335968,0.9143993854522705,0.2634451985359192,3.470928263388325,0,65247,652,0.0,0,0.0,0.8821072048611112
001306,0.321951687335968,2.076245069503784,0.321951687335968,6.4489336480387776,0,65202,652,0.0,0,0.0,0.9864501953125
001310,0.43257802724838257,1.8464510440826416,0.43257805705070496,4.268480599019863,0,65183,651,0.0,0,0.0,0.9532001201923077
000571,0.4388009309768677,1.8270378112792969,0.43880096077919006,4.16370512962182,0,64869,648,0.0,0,0.0,0.9650848388671875
001031,0.09777624905109406,1.3401297330856323,0.09777624160051346,13.70608760521835,0,64886,648,0.0,0,0.0,0.9933948255565068
000461,0.2876147925853729,1.1609255075454712,0.2876148223876953,4.036389703102929,0,64999,649,0.0,0,0.0,0.9324122837611607
000652,0.4418335258960724,1.444859266281128,0.4418335258960724,3.270144028456967,0,64856,648,0.0,0,0.0,0.9141671316964286
